Date,Incident Type,MAE
2023-11-11 14:13:58.641603,False,13.337926348194294
2023-11-11 14:15:54.659859,LOST AND FOUND,7.104166092738553
2023-11-11 14:17:29.383577,DAMAGED PROPERTY,3.6475705631969655
2023-11-11 14:20:05.511097,SEXUAL INCIDENTS,1.353474901511541
2023-11-11 14:21:13.885297,STOLEN ITEMS,2.6329797144468743
2023-11-11 14:23:26.636660,EMERGENCY INCIDENTS,1.37770711078749
2023-11-12 00:49:10.341400,False,13.33792627787238
2023-11-12 01:10:44.847680,LOST AND FOUND,7.104166159220415
2023-11-12 01:15:46.255975,False,13.33792627787238
2023-11-12 01:17:01.458853,DAMAGED PROPERTY,3.647570545112554
2023-11-12 01:30:03.949244,LOST AND FOUND,7.104166159220415
2023-11-12 01:33:57.911333,False,13.33792627787238
2023-11-12 07:58:31.347131,SEXUAL INCIDENTS,1.35348133776395
2023-11-12 09:04:28.453584,DAMAGED PROPERTY,3.647570545112554
2023-11-12 10:33:19.161977,LOST AND FOUND,7.104166159220415
2023-11-12 10:35:40.870896,STOLEN ITEMS,2.632979711863109
2023-11-12 10:44:42.371120,DAMAGED PROPERTY,3.647570545112554
2023-11-12 10:45:00.108626,SEXUAL INCIDENTS,1.35348133776395
2023-11-12 10:57:33.581088,EMERGENCY INCIDENTS,1.377710986796838
2023-11-12 10:59:32.540920,STOLEN ITEMS,2.632979711863109
2023-11-12 11:03:32.975780,SEXUAL INCIDENTS,1.35348133776395
2023-11-12 11:09:00.381351,EMERGENCY INCIDENTS,1.377710986796838
2023-11-12 11:09:14.060230,STOLEN ITEMS,2.632979711863109
2023-11-12 11:13:53.044246,EMERGENCY INCIDENTS,1.377710986796838
